DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FI,2013,1305,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FI,2014,1322,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FI,2015,1381,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FI,2016,1362,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FI,2017,1301,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FI,2018,1438,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FI,2019,1364,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FI,2020,1497,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FI,2021,,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FR,2011,9073,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FR,2012,10562,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FR,2013,10951,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FR,2014,11183,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FR,2015,12717,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FR,2016,13206,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FR,2017,13200,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FR,2018,14050,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FR,2019,14018,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FR,2020,12693,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FR,2021,,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FX,2011,8997,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FX,2012,10480,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FX,2013,10875,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,FX,2014,11068,
